800,-2033,-13841,0
800,-2033,-30465,0
564,-1649,4863,0
304,3144,-30209,0
564,-1905,9982,0
288,-889,-30081,0
804,-993,-30209,0
808,-1777,9279,0
304,-993,-27745,0
804,-993,-27681,0
304,-929,-30337,0
288,-369,-14001,0
800,6416,18558,0
312,-449,-15233,0
816,-961,-30209,0
304,-353,-14001,0
288,-873,2176,0
304,-369,-13905,0
804,-1017,4735,0
304,-369,-15233,0
800,-961,-30337,0
288,-369,2048,0
812,6160,9982,0
804,-993,-14129,0
808,-1777,8767,0
548,-825,-15105,0
316,-953,-30209,0
288,-889,-30081,0
304,-1713,9919,0
804,-993,-14097,0
792,-993,-27681,0
808,-3297,9470,0
804,-2001,4863,0
812,-2033,4479,0
804,-993,-14129,0
800,-1017,5024,0
288,-889,-14097,0
548,-777,-30337,0
288,-353,-15233,0
288,-873,-28001,0
800,3080,-27745,0
804,-2033,10303,0
288,1668,-30401,0
312,-873,-30337,0
552,-825,-27681,0
800,-993,-30209,0
288,-889,-14193,0
804,6416,8958,0
304,1668,-30337,0
804,-1745,9791,0
304,-993,-27809,0
808,-993,-13873,0
288,-369,-14257,0
812,-2001,9216,0
304,1668,-13937,0
304,-353,-14321,0
812,-1777,9919,0
556,-825,-27873,0
804,-2001,-30465,0
808,-2033,5119,0
544,-833,-27809,0
304,-921,-30337,0
304,-385,-15233,0
288,3208,-28513,0
800,-2033,8255,0
804,-1745,9919,0
304,-873,-30209,0
804,3080,-30209,0
312,-2001,9279,0
804,6416,19582,0
800,6160,5119,0
796,-993,-13873,0
548,3304,4991,0
548,-825,-30337,0
804,6160,10494,0
800,-993,-30209,0
804,-2033,8255,0
804,-961,-30337,0
816,-2033,9982,0
556,-825,-30209,0
804,6416,18558,0
288,-889,-28001,0
288,3208,-27681,0
808,-2001,5119,0
288,-889,2432,0
784,-2033,8255,0
808,-2001,4863,0
304,-381,-15233,0
804,-993,-27809,0
560,-833,-27937,0
312,-369,2448,0
804,-993,-27681,0
816,6416,18684,0
304,-381,-13873,0
304,-353,2192,0
304,-381,-14001,0
288,-369,-15297,0
792,-961,-15105,0
812,3080,-27681,0
304,-961,-27745,0
804,-961,-27681,0
792,-2033,-28449,0
288,-889,-13873,0
304,-1713,4863,0
288,-889,-13873,0
304,-369,-14065,0
288,-369,-15297,0
556,-777,-13841,0
808,-2001,4607,0
556,-793,-28065,0
800,-2001,9791,0
812,-2033,9279,0
792,-961,-14193,0
288,-873,-30081,0
304,-353,-15297,0
288,1668,-27809,0
304,-385,-13937,0
288,-889,-13873,0
560,3272,9279,0
804,-961,-13841,0
796,-1777,9791,0
812,-993,-28449,0
288,-873,4991,0
304,-889,4991,0
288,-873,-28513,0
304,-353,-13873,0
804,-1745,9791,0
804,-961,-27745,0
804,-993,-13841,0
304,1668,-30401,0
304,-993,-27681,0
804,-2001,-29953,0
304,-889,-27745,0
304,-889,-27873,0
800,-961,-13841,0
304,-953,-28449,0
304,-993,-30209,0
304,-2001,-30209,0
560,-833,4608,0
288,-873,-13873,0
288,-889,-30657,0
288,-889,-30529,0
796,-2033,-30209,0
304,-369,-15201,0
304,-2033,9216,0
804,-2001,4351,0
560,-825,-27873,0
808,-1777,4607,0
552,-793,-30337,0
800,-2033,5375,0
796,-1777,8255,0
288,-889,-27681,0
808,-2033,5119,0
800,-2001,5119,0
288,-369,2048,0
812,-2033,9982,0
808,-1777,9791,0
804,-2033,4863,0
288,-873,-30401,0
288,-369,-13969,0
560,-793,-30337,0
304,-889,-13873,0
288,-369,-13969,0
288,-889,-28513,0
304,-381,-15329,0
800,-1777,9919,0
808,-993,-30209,0
800,-993,-14129,0
804,-2033,4351,0
288,-873,-30465,0
804,-1745,9919,0
304,-385,-896,0
288,-873,-28641,0
304,-1969,9791,0
812,-993,4991,0
796,-961,5024,0
288,-873,-27681,0
792,-993,-28449,0
544,-257,-14001,0
288,-369,-15297,0
804,6416,8446,0
800,-993,-28513,0
804,-1745,5119,0
304,-873,4768,0
544,-865,-15105,0
556,-257,-13969,0
316,-381,-14001,0
812,3080,-27681,0
288,-889,-27425,0
288,-889,-27745,0
304,-381,-15297,0
804,-993,-30529,0
304,3208,5119,0
288,-889,2432,0
816,-2033,5119,0
792,-993,-30209,0
800,-1017,-13841,0
304,-369,-15297,0
556,-257,-13969,0
556,-865,-27745,0
288,-353,-14065,0
556,-257,-15297,0
804,-993,-30209,0
808,-1017,-15105,0
548,-793,5024,0
312,3080,-27745,0
804,-993,-15105,0
304,-889,5024,0
800,-961,-30209,0
288,-889,-15105,0
560,-825,-30337,0
288,-889,-30209,0
288,-369,2048,0
804,-961,4735,0
288,-369,-7033,0
800,-961,-27681,0
552,-257,-15233,0
544,-833,-30209,0
548,-801,-30337,0
800,-2033,9982,0
800,-993,-30465,0
808,-1745,4607,0
288,-889,-30337,0
800,-993,-13873,0
800,-2033,8446,0
560,-257,-15233,0
800,-1745,10431,0
544,-825,-27681,0
548,-793,-14065,0
804,-961,4512,0
304,-889,4864,0
304,-961,4768,0
304,1668,4896,0
800,-2033,-27681,0
288,-889,-30529,0
304,-381,2448,0
800,-2033,9216,0
304,3208,5119,0
808,-993,-28001,0
784,-993,-27937,0
552,-777,-30593,0
288,-369,-13969,0
804,-993,-27425,0
288,-369,2304,0
304,-953,5119,0
812,-1777,8255,0
304,3080,-28001,0
288,-353,2304,0
318,-1777,4863,0
800,-1777,9791,0
804,-993,-30337,0
288,-889,-14193,0
304,-385,1152,0
804,-1017,4864,0
800,-993,-13937,0
316,-953,-27745,0
560,-833,4479,0
316,-953,-13873,0
560,-793,-13873,0
288,-353,-14001,0
808,-1017,4735,0
804,-1777,8255,0
288,-369,-14001,0
800,-2001,4991,0
792,-961,-14097,0
812,-1017,-15105,0
804,-2033,-30465,0
800,-993,-30593,0
804,6416,19582,0
804,-1017,-30337,0
800,-961,-27681,0
288,-369,2048,0
804,-2033,-27425,0
804,-993,-13937,0
800,-993,-30273,0
304,3144,-27745,0
548,-793,-13873,0
816,6160,9982,0
288,-889,-30593,0
548,-257,-30401,0
304,-953,4735,0
812,-961,5119,0
304,-369,-15297,0
288,-369,-14065,0
812,-993,-27681,0
304,-381,2448,0
552,-1649,9919,0
800,-993,-14129,0
560,3272,-27745,0
808,3080,-30209,0
800,6464,8446,0
812,-993,-30209,0
304,-381,-14065,0
816,-993,-30465,0
548,-825,-14321,0
804,-1745,8383,0
288,-369,-14001,0
800,-961,-13873,0
288,-321,-15297,0
304,-385,-15233,0
288,-873,-30209,0
304,-369,-13969,0
288,-369,-15233,0
812,-2033,5119,0
804,-1777,5119,0
800,3080,-27681,0
800,6720,9470,0
804,-1777,8255,0
288,-889,-30337,0
820,3080,-27937,0
808,-961,-15105,0
288,-889,-13873,0
288,-381,-14257,0
800,-1777,5119,0
288,-353,-15297,0
288,-873,2176,0
556,-257,2448,0
804,6416,19582,0
796,-1745,9791,0
288,-369,2048,0
792,-1777,8255,0
796,-1777,9407,0
552,-257,-30401,0
548,-793,-28001,0
800,-897,4608,0
800,-993,-28001,0
304,-993,4991,0
552,-825,-30209,0
288,3208,-27937,0
304,-353,1152,0
804,-2001,8255,0
304,-381,-14001,0
304,-2033,9216,0
304,-369,-14065,0
548,3304,-27745,0
556,-777,-15105,0
556,3304,-28193,0
304,3208,4991,0
304,-369,-13969,0
312,-889,4735,0
804,-2001,9791,0
808,3080,4991,0
804,-2001,5119,0
288,-889,-27745,0
808,-961,-13873,0
804,-993,-13841,0
304,-1777,8767,0
288,-369,-15297,0
304,6416,9982,0
800,6160,5119,0
304,-961,4864,0
288,-353,2304,0
804,-993,-27809,0
804,-1777,8255,0
792,-961,-13873,0
564,-777,-28065,0
800,6416,18558,0
288,-353,2304,0
288,-353,-14001,0
804,-2001,4223,0
304,-889,-27745,0
800,-2033,9791,0
304,-905,-28001,0
304,-381,-13937,0
800,-961,-28449,0
304,-953,4864,0
304,-381,2304,0
304,-369,-14065,0
792,-2001,5119,0
800,-961,-27745,0
312,-385,-14001,0
552,-777,-30209,0
304,-385,-13969,0
556,-1841,9216,0
304,-369,-13937,0
804,-1745,4607,0
288,-889,-27681,0
